0.270914430357*美剧 0.268858835848*美剧 0.238026313098*文章 0.111305723303*马航 0.110894697394*马伊琍
0.253047849275*马航 0.232692519499*文章 0.203037800484*服贸 0.170799917793*台湾 0.140421912949*中国
0.350203209263*文章 0.230637089711*姚笛 0.227542027175*马伊琍 0.106227078474*出轨 0.0853905953768*孩子
0.426412436193*马航 0.168574102844*失联 0.155834917449*飞机 0.130958671466*MH370 0.118219872048*马来西亚
0.270027283887*马航 0.214129066288*马云 0.177229099883*马化腾 0.172908104476*演员 0.165706445465*余额宝
0.311185184953*欧冠 0.311185184953*欧冠 0.137667432073*决赛 0.128983578768*曼联 0.110978619253*拜仁
0.361338952797*文章 0.197221591957*姚笛 0.150084555494*出轨 0.14613574001*马航 0.145219159741*珍惜
0.285499909887*打车 0.204683777879*马航 0.181178168612*东莞 0.172374216599*中国 0.156263927023*乘客
0.288161051918*我是歌手 0.205039802222*文章 0.191805783311*邓紫棋 0.159082964666*歌词 0.155910397883*动人
0.218501208269*马航 0.19789932604*马来西亚 0.196326886369*昆明 0.193652478226*拯救 0.193620101097*飞机
