0.226438177664*周永康 0.200000076944*立案 0.192224074445*香皂 0.190979883268*审查 0.190357787679*洗手
0.244002923597*巡视 0.200729874303*南京 0.197080502788*金砖 0.190302566159*中国 0.167884133153*发现
0.28276168165*古剑 0.280865171903*奇谭 0.280783626644*古剑 0.0784947677067*电视剧 0.0770947520966*李易峰
0.30817049754*大旱 0.241109828799*河南 0.162820142131*干旱 0.161260773687*后会无期 0.126638757843*京城
0.478804504452*时代 0.177844129407*电影 0.130365875493*电视剧 0.114271659834*剧情 0.0987138308136*电视
0.346163100846*时代 0.21040226854*后会无期 0.175140048695*京城 0.134294200728*刺金 0.13400038119*影城
0.275939063595*时代 0.272162599137*后会无期 0.200153623445*电影 0.144594710734*韩寒 0.107150003089*郭敬明
0.466453121969*时代 0.212796660425*后会无期 0.14149913718*电影 0.0977150569038*票房 0.0815360235218*南湘
0.553590105077*时代 0.163450116349*后会无期 0.109651795977*微信 0.0870646894966*挺好玩 0.0862432931006*测测
0.244264871737*中央 0.228694373509*巡视组 0.226747970356*巡视 0.160017021334*工作 0.140275763064*专门
