0.370941116289*NBA 0.216530494302*雷霆 0.161823700214*快船 0.133135757619*裁判 0.117568931575*比赛
0.355098387563*NBA 0.21133147023*篮球 0.168373948455*乔丹 0.135257887094*体育 0.129938306658*詹姆斯
0.265683926135*NBA 0.239370138879*雷霆 0.22100467962*快船 0.152789741859*比赛 0.121151513508*裁判
0.295422262635*马航 0.203891476107*中国 0.200602705725*步步惊情 0.153193541649*李克强 0.146890013885*失联
0.374640942923*NBA 0.258630390591*季后赛 0.129487424322*雷霆 0.121057868953*快船 0.116183373211*比赛
0.615709688816*新疆 0.113090624913*中国 0.0998696437482*草原 0.0893800327894*天山 0.0819500097332*美丽
0.351033757603*归来 0.213507314919*回来 0.199074238949*爸爸 0.121188068918*张艺谋 0.11519661961*观众
0.204853941078*实力 0.201804585271*无价 0.20021719495*切换 0.197919820614*安踏 0.195204458087*NBA
0.523010729801*新疆 0.159878450236*发现 0.122404182575*中国 0.100000901195*出现 0.0947057361927*时间
0.270173689183*舌尖 0.259153456809*舌尖上的中国 0.182545333207*美食 0.181478973838*中国 0.106648546964*导演
