0.278935463824*兰州 0.238268631063*中国 0.170142990712*事件 0.159194039628*问题 0.153458874774*文章
0.256312571439*兰州 0.24413810621*自来水 0.231991944409*超标 0.155196763249*污染 0.112360614692*自流
0.323170833613*马航 0.212320378127*失联 0.167301801582*MH370 0.153314735755*飞机 0.143892250922*客机
0.423154872827*文章 0.166956563712*XP 0.162059630874*篇文章 0.147054513861*打车 0.100774418726*下载
0.24567569888*美剧 0.242996068055*美剧 0.210962209837*连城 0.208769754711*宫锁 0.091596268517*喜欢
0.301644383009*欧冠 0.301397277493*欧冠 0.149369627874*决赛 0.124381901277*拜仁 0.123206810347*皇马
0.472070994224*我是歌手 0.159381772341*歌手 0.13383962942*巅峰 0.130206184814*喜欢 0.1045014192*音乐
0.322789909976*兰州 0.247043694182*自来水 0.177505406008*超标 0.129175473713*小时 0.123485516121*含量
0.500284534473*文章 0.137901635303*奶茶 0.131737920125*姚笛 0.131308036815*出轨 0.0987678732846*中国
0.362388145748*兰州 0.19424036022*自来水 0.186509650341*兰州市 0.137901352067*含量 0.118960491624*打车
