0.34547660505*马航 0.21391346254*巡视 0.15428425088*俄罗斯 0.145292433845*国家 0.141033247685*巡视组
0.380408902682*后会无期 0.208756510329*电影 0.182198097006*韩寒 0.14052507075*时代 0.0881114192335*喜欢
0.342615780097*时代 0.231981088383*后会无期 0.191970030458*电影 0.130744501586*韩寒 0.102688599475*郭敬明
0.487911289201*时代 0.163444366946*后会无期 0.161027760454*电影 0.100907871787*顾里 0.0867087116132*喜欢
0.272083463229*奇谭 0.267221674591*古剑 0.266643611456*古剑 0.112640271816*电视剧 0.0814109789083*李易峰
0.272148838993*古剑 0.2715930198*古剑 0.269606892553*奇谭 0.102662028088*电视剧 0.0839892205661*苏苏
0.383766236593*金砖 0.205832475944*国家 0.196534355332*中国 0.113695841139*美国 0.100171090992*女大八
0.235842882134*马航 0.198983700869*阿尔及利亚 0.192748268573*台湾 0.192471264145*坠毁 0.179953884279*击落
0.237007708352*马航 0.209361348241*MH17 0.198950020791*航空 0.191863572282*复兴 0.162817350335*航班
0.451943736511*时代 0.160781924625*电影 0.154645195784*后会无期 0.128682454706*刺金 0.103946688374*京城
