0.377392637118*时代 0.282091853801*后会无期 0.147961265988*电影 0.0994685524857*世界 0.0930856906072*地址
0.247526945396*中国 0.238117913938*地震 0.172738463547*发生 0.172135208417*昆山 0.169481468702*政府
0.270875961953*地震 0.21054091509*鲁甸 0.209157005554*云南 0.166297596632*爱心 0.14312852077*希望
0.297926505123*地震 0.197247905949*发生 0.196563179786*云南 0.188469005618*鲁甸 0.119793403524*救援
0.299670144319*昆山 0.2121132998*爆炸 0.173008685428*奇谭 0.172087006098*古剑 0.143120864354*事故
0.363099086609*地震 0.267734030097*云南 0.13969130001*鲁甸 0.116315063289*发生 0.113160519995*河南
0.376129613369*地震 0.192029976158*云南 0.169352167514*鲁甸 0.162836579474*灾区 0.0996516634846*鲁甸县
0.389736332591*地震 0.193936928436*灾区 0.175302698353*云南 0.137748472628*发生 0.103275567992*鲁甸
0.314547683074*地震 0.20811361097*云南 0.192027556715*鲁甸 0.182814599773*鲁甸县 0.102496549467*死亡
0.213092502695*发起 0.209749673523*学生 0.203064015179*朋友 0.187172719575*看过 0.186921089028*表态
