0.258493491689*娱乐 0.224515472857*凤凰 0.214353538341*黄海波 0.163544541109*归来 0.139092956004*宫锁
0.441632288606*归来 0.225613724647*电影 0.138420703539*张艺谋 0.10343609644*爱情 0.0908971867691*巩俐
0.383983791928*舌尖 0.235823024922*美食 0.207778555183*舌尖上的中国 0.086956979415*纪录片 0.0854576485524*中国
0.312981906625*归来 0.303402019352*新疆 0.137690057913*中国 0.123105784955*电影 0.122820231155*同桌的你
0.284018727836*黄海波 0.213882917024*文章 0.196379196487*嫖娼 0.189305764667*出轨 0.116413393987*家庭
0.324114976345*NBA 0.206287570208*热火 0.171868217632*步行者 0.160165550065*篮球 0.13756368575*实力
0.501169812422*新疆 0.145491673938*中国 0.119394063156*北京 0.11845683416*黄海波 0.115487616325*云南
0.281986924703*欧冠 0.281592339041*欧冠 0.165395257296*冠军 0.146277342148*皇马 0.124748136812*西甲
0.356408174167*马航 0.19505211717*MH370 0.159888547216*失联 0.149023705372*击落 0.139627456076*客机
0.245162288673*观看 0.233978231336*高清 0.202057464312*电视剧 0.161727785775*步步惊情 0.157074229903*爱奇艺
