0.333072243916*东莞 0.299620344627*打车 0.141726701735*司机 0.117529620066*消息 0.108051089656*软件
0.228178137121*用户 0.221298542595*停止 0.214562136325*余额宝 0.19277620714*XP 0.143184976819*系统
0.419914538308*文章 0.167945066816*喜欢 0.159088677207*希望 0.129388095292*相信 0.123663622377*爱情
0.378454525718*文章 0.199844615711*姚笛 0.178028294395*马伊琍 0.128827858126*爱情 0.11484470605*相信
0.497089383541*我是歌手 0.151537007189*邓紫棋 0.133448915759*喜欢 0.112329880302*张杰 0.105594813208*歌手
0.207008806008*这辈子 0.206266680462*骄傲 0.196678293678*文章 0.195137348503*事情 0.194908871348*刘烨
0.311854276444*欧冠 0.311854276444*欧冠 0.165467164454*决赛 0.110991681815*主场 0.0998326008422*时间
0.384032949439*马航 0.187803502764*失联 0.175678290371*飞机 0.128886391195*MH370 0.123598866232*客机
0.36611639645*文章 0.223619649279*美剧 0.222361919242*美剧 0.101245668986*喜欢 0.0866563660419*中国
0.30076946538*文章 0.294883158103*姚笛 0.186509208815*马伊琍 0.116504606556*马伊利 0.101333561146*出轨
