0.245683311145*时代 0.23060094198*周永康 0.189323258854*立案 0.167692542342*审查 0.166699945679*老虎
0.256758882374*金砖 0.193942094089*重磅 0.190892402705*消息 0.186826879816*朋友 0.171579741016*赚钱
0.324457795469*时代 0.297922324318*后会无期 0.150517093858*闺蜜 0.120139379735*电影 0.106963406619*白发
0.237520307855*巡视员 0.215578546875*赵纪来 0.214207300881*杭州市 0.183900270143*坠楼 0.148793574246*市政府
0.301950154509*中央 0.230106642057*巡视组 0.191726511873*巡视 0.15826457835*工作 0.117952113211*受理
0.313463727736*大旱 0.215362667073*河南 0.206670200852*严重 0.135888319739*吃水 0.1286150846*村民
0.230117630324*时代 0.204611281858*世界 0.191242723723*遇到 0.188923824209*友情 0.185104539887*朋友
0.282287672158*奇谭 0.280672751424*古剑 0.280363461049*古剑 0.0818790783241*李易峰 0.0747970370454*电视剧
0.367100212473*时代 0.212323673953*电影 0.20971042065*后会无期 0.107620359202*喜欢 0.103245333721*韩寒
0.35722750659*马航 0.180333077618*MH17 0.165287365206*客机 0.155615097084*乌克兰 0.141536953502*坠毁
