0.312538487013*昆明 0.227907190065*马航 0.203477506048*事件 0.140969876093*生命 0.115106940781*珍惜
0.359015191554*中国 0.186289058804*代表 0.161848096767*委员 0.151416260279*问题 0.141431392596*全国
0.254899393026*欧冠 0.213952294613*东莞 0.198086771451*比赛 0.179654667275*北京 0.153406873634*时间
0.387650281766*打车 0.179235311398*司机 0.159422508375*乘客 0.14636830857*昆明 0.127323589891*手机
0.290064061356*余额宝 0.204041505313*银行 0.177378987121*互联网 0.167976350268*政府 0.160539095941*金融
0.26758262574*马航 0.221823955023*昆明 0.180525566224*失联 0.178932608396*飞机 0.151135244616*事件
0.462699747085*我是歌手 0.158992427254*邓紫棋 0.153814110989*喜欢 0.122323784909*歌手 0.102169929762*韩磊
0.264179697766*打车 0.247365056978*昆明 0.197158183741*东莞 0.159976466766*软件 0.131320594749*出租车
0.424552272398*昆明 0.1937299999*事件 0.130505932794*马航 0.125711263414*火车站 0.125500531494*发生
0.318521230666*全国 0.203584708816*工作 0.16914767623*委员 0.163889624517*代表 0.144856759771*政府
