0.283555474482*后会无期 0.273882461413*时代 0.18826450696*电影 0.174274624845*韩寒 0.0800229323004*导演
0.202428343222*老虎 0.200797369639*王春成 0.199891297083*铁路 0.198985224527*大亨 0.19789776553*军方
0.212757131004*后会无期 0.197636826596*不错 0.19689297056*陪伴 0.196562367878*记录 0.196150703961*节目
0.206177900155*奇谭 0.205734505845*古剑 0.204552196733*古剑 0.195093042389*回来 0.188442354878*提醒
0.502788289846*后会无期 0.156291740452*电影 0.125055961246*喜欢 0.116466140404*韩寒 0.0993978680517*人生
0.440092644913*后会无期 0.211207690004*电影 0.125493744454*时代 0.113181385662*韩寒 0.110024534967*喜欢
0.288006242198*古剑 0.288006242198*奇谭 0.285789668928*古剑 0.073629348555*李易峰 0.064568498122*电视剧
0.36130999408*后会无期 0.215388065944*电影 0.152195480731*韩寒 0.148336542716*时代 0.122769916529*金砖
0.248770914372*巡视 0.232996818978*巡视组 0.215929391253*中央 0.171968329435*工作 0.130334545962*西藏
0.379525269292*大旱 0.251408042163*河南 0.124096571587*中央 0.122485058479*工作 0.122485058479*农民
