0.265341506269*新疆 0.233326814066*乌鲁木齐 0.186895318053*习近平 0.158711729116*南站 0.155724632496*火车
0.332232574548*欧冠 0.311158950746*欧冠 0.168591043813*半决赛 0.100972202316*加油 0.0870452285782*NBA
0.428532333878*NBA 0.167166900644*季后赛 0.151355186615*火箭 0.127480601969*球队 0.125464976894*篮球
0.280561975171*欧冠 0.279103646879*欧冠 0.16828430898*决赛 0.139485577039*皇马 0.132564491929*切尔西
0.398116287358*步步惊情 0.176428839887*张晓 0.153900794621*卫视 0.153597019046*浙江 0.117957059088*中国
0.308167289433*爸爸回来了 0.231944495989*喜欢 0.189739785883*爸爸 0.137348304467*欧冠 0.132800124228*吴尊
0.315574993079*欧冠 0.300934493862*欧冠 0.154773802123*决赛 0.125123670387*皇马 0.10359304055*半决赛
0.224422147798*舌尖上的中国 0.209730891706*步步惊情 0.197061537617*美剧 0.194187058138*美剧 0.174598364741*中国
0.245103154865*火车 0.243698559429*南站 0.214670358031*乌鲁木齐 0.148654059719*暴恐 0.147873867956*暴力
0.297201948576*京东 0.232002537991*回来 0.201802474422*爸爸 0.141871064579*韩国 0.127121974433*马航
