0.319801737113*韩国 0.241894243189*客轮 0.170804259877*沉船 0.137497020008*沉没 0.130002739814*事故
0.447470776864*打车 0.186559780623*司机 0.138718075354*手机 0.113810548807*微信 0.113440818351*XP
0.619925025278*文章 0.116152237454*发表 0.0918318893563*出轨 0.0873873200228*篇文章 0.0847035278888*姚笛
0.292137178172*回来 0.277104696056*爸爸 0.154317141504*欧冠 0.152188806997*篇文章 0.124252177272*推荐
0.453320835504*NBA 0.198095749449*美国 0.127708096819*季后赛 0.114825170689*常规赛 0.10605014754*中国
0.339744754944*兰州 0.218481485987*中国 0.163346039096*事件 0.140673838202*扫黄打非 0.137753881772*问题
0.361944147371*舌尖上的中国 0.174279693462*舌尖 0.173509868817*美食 0.151355815293*脚步 0.138910475057*中国
0.359243511077*马航 0.179861565702*失联 0.172327139511*世界 0.14530031232*飞机 0.14326747139*地方
0.421313767457*NBA 0.216993198958*季后赛 0.128609419703*雷霆 0.122272310747*热火 0.110811303135*火箭
0.224905499253*连城 0.219141267629*美剧 0.219041667803*美剧 0.213377036004*宫锁 0.123534529311*喜欢
