0.438511423203*兰州 0.206829867751*自来水 0.120582246345*国家 0.119661531207*污染 0.114414931494*应急
0.332962180995*马航 0.206763829907*失联 0.169563367505*飞机 0.149529169042*MH370 0.141181452552*客机
0.408708293318*打车 0.191912514573*司机 0.149445637489*文章 0.125102003211*软件 0.124831551408*出租车
0.350433358242*文章 0.234917623732*马伊琍 0.196526425442*现身 0.10934678536*爸爸 0.108775807224*发现
0.328224147388*欧冠 0.327501317751*欧冠 0.116613837636*拜仁 0.114517036767*比赛 0.113143660457*决赛
0.296092189894*兰州 0.237196851603*自来水 0.19729616977*超标 0.15993396536*污染 0.109480823372*自流
0.246683176387*美剧 0.244292819118*美剧 0.212740385464*连城 0.210708546498*宫锁 0.0855750725329*喜欢
0.279373938764*文章 0.251280682647*我是歌手 0.214128801553*篇文章 0.145589525399*喜欢 0.109627051638*下载
0.32967416401*文章 0.219474452437*马伊琍 0.16594728239*北京 0.146892010931*现身 0.138012090232*滑冰场
0.37986077073*XP 0.171978715188*保护 0.162742606144*支持 0.148172715407*奇葩 0.137245192531*明星
