0.395329271378*归来 0.223788004554*电影 0.160337341455*张艺谋 0.116759261685*巩俐 0.103786120928*陈道明
0.292102772528*新疆 0.218847432921*中国 0.208540469715*黄海波 0.197865027642*马航 0.0826442971947*社会
0.624909797792*新疆 0.127516132781*中国 0.0964114508512*天山 0.0861370955148*草原 0.0650255230618*地方
0.228415794994*粽子 0.219108925017*国家 0.197227786872*入境 0.19504940514*禁止 0.160198087977*邮寄
0.345724831928*新疆 0.189356838779*云南 0.177510579284*贵州 0.172225520292*海南 0.115182229718*西藏
0.550505142626*归来 0.191874450943*电影 0.104588299321*爱情 0.0785809939795*陪伴 0.0744511131293*等待
0.282938970357*欧冠 0.282327767758*欧冠 0.149958026326*冠军 0.143993486175*决赛 0.140781749384*皇马
0.305806088618*NBA 0.19177923938*雷霆 0.183360152281*马刺 0.161693842502*篮球 0.15736067722*球队
0.308123903979*舌尖 0.248117480307*美食 0.211371842646*粽子 0.119452112304*归来 0.112934660763*舌尖上的中国
0.340781075577*黄海波 0.189399101099*文章 0.168415600467*嫖娼 0.154244809236*家庭 0.147159413621*采访
