0.337464162052*后会无期 0.284152523017*时代 0.236438413061*电影 0.07250515877*韩寒 0.0694397430999*上映
0.282013573134*马航 0.226522071369*巡视 0.174729880398*中央 0.165339322226*工作 0.151395152873*航班
0.315603608302*地震 0.294778667234*发生 0.140301400979*鲁甸县 0.127004621893*中国 0.122311701591*云南省
0.261981788421*地震 0.212690615858*朋友 0.183551473603*后会无期 0.181917348162*遇到 0.159858773955*转发
0.464024585101*地震 0.172765929044*昆山 0.134678589209*爆炸 0.122729377815*安全 0.10580151883*发生
0.256214953929*地震 0.230523014173*鲁甸 0.208863427165*灾区 0.190030713742*云南 0.11436789099*爱心
0.260527396755*世界 0.209469854109*时代 0.186340964541*友情 0.172812768117*认识 0.170849016477*朋友
0.324071137051*地震 0.191433748363*海啸 0.174393510898*小学 0.171323363284*汶川 0.138778240405*社会
0.343560312644*地震 0.194101476628*黄金 0.166999291953*白银 0.149463115684*影响 0.145875803092*现货
0.35453167049*地震 0.220833552844*鲁甸 0.211760613542*云南 0.113156267162*灾区 0.0997178959614*救灾
