0.416121667996*我是歌手 0.169855385331*张杰 0.161230027777*李代沫 0.140440362188*歌手 0.112352556707*吸毒
0.279402516457*欧冠 0.275325373248*欧冠 0.153559598937*决赛 0.148620031419*拜仁 0.14309247994*切尔西
0.351799463127*马航 0.205429228368*失联 0.16262465534*马来西亚 0.153263584295*飞机 0.126883068869*MH370
0.246884135594*欧冠 0.238575381239*欧冠 0.189169271305*曼联 0.167359117211*皇马 0.158012094651*巴黎
0.269324640083*打车 0.215774105898*服贸 0.190679058668*司机 0.175890723248*台湾 0.148331472103*大陆
0.394020995931*东莞 0.216045277305*打车 0.157336203177*消息 0.119657789428*东莞市 0.11293973416*软件
0.302530159587*余额宝 0.185723602588*互联网 0.183258054437*用户 0.173134382688*打车 0.1553538007*XP
0.204415862515*情人 0.200124300631*老婆 0.198655992307*酒店 0.198430120629*马来西亚 0.198373723918*马航
0.298988123276*马航 0.241154182233*失联 0.176063929202*飞机 0.171197996661*客机 0.112595768628*发现
0.236802415935*马航 0.207258468236*飞机 0.202759303886*失联 0.190761885328*时间 0.162417926614*空难
