0.361771796982*粽子 0.257624033038*端午节 0.171654452*端午 0.148953062007*快乐 0.059996655972*屈原
0.45062249612*招远 0.166537074891*邪教 0.13595974353*血案 0.130031679115*山东 0.116849006345*嫌犯
0.208923745054*游戏 0.208186218522*归来 0.203457288046*回归 0.192966889948*计划 0.18646585843*邀请
0.22395580896*舌尖 0.20466115013*旅游 0.191925823441*分钟 0.191607109811*茶叶蛋 0.187850107658*人品
0.541513867012*归来 0.189426466623*电影 0.0948781961228*中国 0.0935620412209*粽子 0.0806194290209*故事
0.513986809188*世界杯 0.16196580313*巴西 0.116821156757*足球 0.104971479636*NBA 0.102254751288*球迷
0.33386857799*舌尖 0.293542801052*粽子 0.128791624995*端午节 0.123391950958*妈妈 0.120405045005*美食
0.307588963117*杨幂 0.245626686723*世界杯 0.152683272132*归来 0.150904747157*高考 0.143196330871*高清
0.262007252921*世界杯 0.224535129536*巴西 0.179241209627*冠军 0.171082527467*德国 0.163133880449*预测
0.445685880305*招远 0.173370810553*山东 0.164049753457*麦当劳 0.108912759745*打死 0.10798079594*命案
