0.327321073203*舌尖 0.202344739378*归来 0.175473288427*舌尖上的中国 0.153471810255*美食 0.141389088737*步步惊情
0.240522908785*欧冠 0.235475240986*欧冠 0.176903115985*冠军 0.174294613853*马竞 0.172804120391*皇马
0.250552503177*决赛 0.21540912619*欧冠 0.201155150254*欧冠 0.166994450053*NBA 0.165888770325*球队
0.210174329576*欧冠 0.206131396446*欧冠 0.200211733608*冠军 0.195062011163*西甲 0.188420529207*英格兰
0.434809550811*归来 0.218140165317*电影 0.127322124299*巩俐 0.116094922786*陈道明 0.103633236787*张艺谋
0.2566784828*欧冠 0.253951849852*欧冠 0.171524473477*巴萨 0.170234820446*马竞 0.147610373426*冠军
0.463287776405*归来 0.203515829115*电影 0.117085888392*巩俐 0.112795489813*张艺谋 0.103315016276*陈道明
0.532326743447*新疆 0.132103650897*美食 0.127631828795*中国 0.106763614672*舌尖 0.101174162189*位于
0.33675159077*黄海波 0.177814431629*文章 0.17203934669*马航 0.169970852746*嫖娼 0.143423778166*出轨
0.23267407902*乌鲁木齐 0.219499120054*暴恐 0.202108103914*警方 0.17523089636*受伤 0.170487800652*火车站
