0.296429473599*地震 0.217542606262*云南 0.208321645701*灾区 0.141973734985*鲁甸 0.135732539453*发生
0.385370813013*地震 0.204446066478*云南 0.153490759754*PX 0.147787394122*鲁甸 0.108904966632*发生
0.214659562269*腐败 0.206085551257*巡视 0.193489609278*中央 0.193110302617*巡视组 0.192654974579*发现
0.298750974354*地震 0.218594219026*云南 0.190215881599*救援 0.146872469414*龙头 0.145566455606*鲁甸
0.309199360786*地震 0.241161418591*云南 0.201232122994*鲁甸 0.13887935008*鲁甸县 0.109527747549*爱心
0.224405843027*云南 0.224171658229*昆山 0.18403060633*高雄 0.183946748077*高雄 0.183445144337*马航
0.235525228806*时代 0.222291245211*PX 0.18713799714*世界 0.177832903243*古剑 0.1772126256*奇谭
0.320765237034*昆山 0.265962917236*爆炸 0.165847364979*事故 0.142454555477*中荣 0.104969925274*工厂
0.31734295268*时代 0.296682239396*后会无期 0.176171754093*电影 0.110865128121*PX 0.0989379257094*故事
0.242463828673*地震 0.237294003664*大旱 0.196898288663*严重 0.179810637194*河南 0.143533241805*云南
